time_value,value,geo_value
2020-06-01,7.168846,ny
2020-06-02,6.425798,ny
2020-06-03,6.02783,ny
2020-06-04,5.729649,ny
2020-06-05,5.620968,ny
2020-06-06,5.535457,ny
2020-06-07,5.136416,ny
2020-06-08,5.165501,ny
2020-06-09,5.314093,ny
2020-06-10,5.441347,ny
2020-06-11,5.445193,ny
2020-06-12,5.351916,ny
2020-06-13,5.221308,ny
2020-06-14,4.864331,ny
2020-06-15,4.914495,ny
