time_value,value,geo_value
2020-06-01,0.0,ny
2020-06-02,0.0014776,ny
2020-06-03,0.0014776,ny
2020-06-04,0.0022164,ny
2020-06-05,0.0022164,ny
2020-06-06,0.0022164,ny
2020-06-07,0.0022164,ny
2020-06-08,0.0022164,ny
2020-06-09,0.0007388,ny
2020-06-10,0.0014776,ny
2020-06-11,0.0007388,ny
2020-06-12,0.0007388,ny
2020-06-13,0.0007388,ny
2020-06-14,0.0007388,ny
2020-06-15,0.0007388,ny
